Symbol,MULTI_FACTOR_SCORE,ENTRY_SCORE,EXPECTED_RETURN_30D,CONVICTION,CONVICTION_SCORE,CONVICTION_RANK
STLTECH,93.95,7.0,17.5,HIGH,100,1
HFCL,93.92,5.0,15.04,HIGH,100,2
NINSYS,93.85,5.0,13.54,HIGH,100,3
BBOX,93.55,5.0,13.71,HIGH,100,4
SASKEN,93.5,5.0,13.36,HIGH,100,5
VENUSREM,93.1,7.0,12.71,HIGH,100,6
PREMIERENE,93.05,5.0,10.71,HIGH,100,7
GAYAPROJ,92.91,7.0,11.04,HIGH,100,8
BLISSGVS,92.86,5.0,13.32,HIGH,100,9
EMMVEE,92.84,5.0,11.43,HIGH,100,10
KERNEX,92.72,7.0,12.51,HIGH,100,11
SUVEN,92.42,5.0,12.36,HIGH,100,12
DEEPINDS,92.3,7.0,11.0,HIGH,100,13
SOUTHWEST,92.21,5.0,10.76,HIGH,100,14
IOLCP,92.11,5.0,12.19,HIGH,100,15
OFSS,92.01,7.0,11.56,HIGH,100,16
ANTELOPUS,91.89,5.0,11.92,HIGH,100,17
RUBICON,91.82,7.0,11.78,HIGH,100,18
SIGMAADV,91.78,5.0,15.32,HIGH,100,19
ADANIPOWER,91.62,5.0,11.33,HIGH,100,20
